event,frame,slot,routine,name,role,cls,blend,peak,life,mood,span,off,wild,hrot,tz,tx,ty,tr,schemeA,schemeB,leg
spawn,1765193,2,497,474 storm front,2,0,2,103,1368,2,17000,30614,0,0,1.4449,0.0953,-0.1471,3.3909,17,58,1723
spawn,1765419,1,79,056 ribbon swarm,2,0,2,103,1439,2,17000,8313,0,0,1.6029,-0.0129,0.2247,2.3936,58,68,1724
spawn,1765478,4,436,413 twin sunbursts,0,0,0,256,978,0,17000,24075,0,0,1.2255,0.0000,0.0000,0.1995,58,68,1724
spawn,1766084,3,517,494 upward streamers,3,0,1,79,734,0,4814,16415,0,0,0.9522,-0.0976,-0.0247,4.3883,58,68,1724
spawn,1766500,4,332,309 smoke columns,1,0,0,256,766,2,17000,3818,0,0,1.2288,0.0000,0.0000,1.2965,68,102,1725
spawn,1766885,4,364,341 nested sines,0,0,0,256,1114,1,17000,22336,0,0,1.2904,0.0000,0.0000,5.5851,68,102,1725
spawn,1767617,1,246,223 caustic net,1,0,1,161,699,1,17000,9356,99,0,0.9727,-0.2765,-0.1212,3.0917,102,59,1726
spawn,1767798,2,590,567 rolling pinions,2,0,1,134,1086,1,12250,828,0,0,2.0977,-0.2765,0.1400,0.6981,102,59,1726
spawn,1767968,3,539,516 skyline leaders,3,0,1,112,601,1,5921,16782,107,0,1.1164,0.0224,-0.2035,1.2965,102,59,1726
spawn,1768073,4,52,029 tartan beat,1,0,0,256,1021,0,17000,28341,0,0,1.1704,0.0000,0.0000,5.7845,102,59,1726
spawn,1768079,4,428,405 velvet nap,0,0,0,256,810,2,17000,3773,0,0,1.0710,0.0000,0.0000,2.6928,102,59,1726
spawn,1768856,4,313,290 origami folds,0,0,0,256,812,1,17000,24990,0,0,1.2625,0.0000,0.0000,0.2992,59,107,1727
spawn,1769473,3,135,112 vortex ink,3,0,1,72,434,1,7250,14167,0,0,1.3587,-0.0741,-0.0035,0.0000,107,80,1728
spawn,1769557,1,229,206 breathing membrane,1,0,1,151,934,1,17000,8623,0,0,1.0692,-0.2553,0.2812,5.6848,107,80,1728
spawn,1769761,4,228,205 lattice windows,1,0,0,256,989,0,17000,18940,0,0,1.4342,0.0000,0.0000,5.8843,107,80,1728
spawn,1770552,2,602,579 matrix pileup,2,0,1,118,1209,0,4500,559,27,1,1.3669,-0.2106,0.2859,4.3883,80,122,1729
spawn,1770832,4,344,321 ring tunnel,1,0,0,256,1558,0,17000,25570,0,0,1.2879,0.0000,0.0000,3.2912,80,122,1729
spawn,1771079,4,394,371 cell caustics,0,0,0,256,692,1,17000,14117,0,0,1.3545,0.0000,0.0000,5.3856,80,122,1729
spawn,1771535,1,269,246 sinew strands,1,0,1,131,1333,1,17000,24194,0,0,2.4282,0.2953,0.1141,2.9920,122,91,1730
